RengData : [ 1.412 , 0.746 ] 
RengData : [ 1.396 , 0.746 ] 
RengData : [ 1.416 , 0.748 ] 
RengData : [ 1.394 , 0.748 ] 
RengData : [ 1.418 , 0.75 ] 
RengData : [ 1.39 , 0.75 ] 
RengData : [ 1.422 , 0.752 ] 
RengData : [ 1.388 , 0.752 ] 
RengData : [ 1.424 , 0.754 ] 
RengData : [ 1.406 , 0.754 ] 
RengData : [ 1.402 , 0.754 ] 
RengData : [ 1.386 , 0.754 ] 
RengData : [ 1.424 , 0.756 ] 
RengData : [ 1.41 , 0.756 ] 
RengData : [ 1.398 , 0.756 ] 
RengData : [ 1.384 , 0.756 ] 
RengData : [ 1.424 , 0.758 ] 
RengData : [ 1.414 , 0.758 ] 
RengData : [ 1.396 , 0.758 ] 
RengData : [ 1.382 , 0.758 ] 
RengData : [ 1.424 , 0.76 ] 
RengData : [ 1.416 , 0.76 ] 
RengData : [ 1.394 , 0.76 ] 
RengData : [ 1.382 , 0.76 ] 
RengData : [ 1.426 , 0.762 ] 
RengData : [ 1.416 , 0.762 ] 
RengData : [ 1.392 , 0.762 ] 
RengData : [ 1.38 , 0.762 ] 
RengData : [ 1.424 , 0.764 ] 
RengData : [ 1.416 , 0.764 ] 
RengData : [ 1.39 , 0.764 ] 
RengData : [ 1.38 , 0.764 ] 
RengData : [ 1.424 , 0.766 ] 
RengData : [ 1.414 , 0.766 ] 
RengData : [ 1.39 , 0.766 ] 
RengData : [ 1.378 , 0.766 ] 
RengData : [ 1.424 , 0.768 ] 
RengData : [ 1.414 , 0.768 ] 
RengData : [ 1.388 , 0.768 ] 
RengData : [ 1.376 , 0.768 ] 
RengData : [ 1.424 , 0.77 ] 
RengData : [ 1.414 , 0.77 ] 
RengData : [ 1.386 , 0.77 ] 
RengData : [ 1.376 , 0.77 ] 
RengData : [ 1.422 , 0.772 ] 
RengData : [ 1.412 , 0.772 ] 
RengData : [ 1.386 , 0.772 ] 
RengData : [ 1.376 , 0.772 ] 
RengData : [ 1.4220000000000002 , 0.774 ] 
RengData : [ 1.4140000000000001 , 0.774 ] 
RengData : [ 1.3840000000000001 , 0.774 ] 
RengData : [ 1.374 , 0.774 ] 
RengData : [ 1.4240000000000002 , 0.776 ] 
RengData : [ 1.4140000000000001 , 0.776 ] 
RengData : [ 1.3840000000000001 , 0.776 ] 
RengData : [ 1.372 , 0.776 ] 
RengData : [ 1.4320000000000002 , 0.778 ] 
RengData : [ 1.4300000000000002 , 0.778 ] 
RengData : [ 1.4240000000000002 , 0.778 ] 
RengData : [ 1.4140000000000001 , 0.778 ] 
RengData : [ 1.3820000000000001 , 0.778 ] 
RengData : [ 1.372 , 0.778 ] 
RengData : [ 1.4380000000000002 , 0.78 ] 
RengData : [ 1.4140000000000001 , 0.78 ] 
RengData : [ 1.3820000000000001 , 0.78 ] 
RengData : [ 1.372 , 0.78 ] 
RengData : [ 1.4400000000000002 , 0.782 ] 
RengData : [ 1.4160000000000001 , 0.782 ] 
RengData : [ 1.3800000000000001 , 0.782 ] 
RengData : [ 1.37 , 0.782 ] 
RengData : [ 1.4420000000000002 , 0.784 ] 
RengData : [ 1.4180000000000001 , 0.784 ] 
RengData : [ 1.3800000000000001 , 0.784 ] 
RengData : [ 1.37 , 0.784 ] 
RengData : [ 1.4440000000000002 , 0.786 ] 
RengData : [ 1.4180000000000001 , 0.786 ] 
RengData : [ 1.3800000000000001 , 0.786 ] 
RengData : [ 1.368 , 0.786 ] 
RengData : [ 1.4460000000000002 , 0.788 ] 
RengData : [ 1.4180000000000001 , 0.788 ] 
RengData : [ 1.3780000000000001 , 0.788 ] 
RengData : [ 1.368 , 0.788 ] 
RengData : [ 1.4460000000000002 , 0.79 ] 
RengData : [ 1.4200000000000002 , 0.79 ] 
RengData : [ 1.3780000000000001 , 0.79 ] 
RengData : [ 1.368 , 0.79 ] 
RengData : [ 1.4460000000000002 , 0.792 ] 
RengData : [ 1.4380000000000002 , 0.792 ] 
RengData : [ 1.4340000000000002 , 0.792 ] 
RengData : [ 1.4220000000000002 , 0.792 ] 
RengData : [ 1.3760000000000001 , 0.792 ] 
RengData : [ 1.366 , 0.792 ] 
RengData : [ 1.4480000000000002 , 0.794 ] 
RengData : [ 1.4380000000000002 , 0.794 ] 
RengData : [ 1.4340000000000002 , 0.794 ] 
RengData : [ 1.4220000000000002 , 0.794 ] 
RengData : [ 1.3760000000000001 , 0.794 ] 
RengData : [ 1.366 , 0.794 ] 
RengData : [ 1.4480000000000002 , 0.796 ] 
RengData : [ 1.4380000000000002 , 0.796 ] 
RengData : [ 1.4340000000000002 , 0.796 ] 
RengData : [ 1.4240000000000002 , 0.796 ] 
RengData : [ 1.3760000000000001 , 0.796 ] 
RengData : [ 1.366 , 0.796 ] 
RengData : [ 1.4480000000000002 , 0.798 ] 
RengData : [ 1.4380000000000002 , 0.798 ] 
RengData : [ 1.4320000000000002 , 0.798 ] 
RengData : [ 1.4260000000000002 , 0.798 ] 
RengData : [ 1.374 , 0.798 ] 
RengData : [ 1.364 , 0.798 ] 
RengData : [ 1.4480000000000002 , 0.8 ] 
RengData : [ 1.4380000000000002 , 0.8 ] 
RengData : [ 1.374 , 0.8 ] 
RengData : [ 1.364 , 0.8 ] 
RengData : [ 1.4480000000000002 , 0.802 ] 
RengData : [ 1.4380000000000002 , 0.802 ] 
RengData : [ 1.374 , 0.802 ] 
RengData : [ 1.364 , 0.802 ] 
RengData : [ 1.4480000000000002 , 0.804 ] 
RengData : [ 1.4400000000000002 , 0.804 ] 
RengData : [ 1.372 , 0.804 ] 
RengData : [ 1.362 , 0.804 ] 
RengData : [ 1.4480000000000002 , 0.806 ] 
RengData : [ 1.4380000000000002 , 0.806 ] 
RengData : [ 1.372 , 0.806 ] 
RengData : [ 1.362 , 0.806 ] 
RengData : [ 1.4500000000000002 , 0.808 ] 
RengData : [ 1.4400000000000002 , 0.808 ] 
RengData : [ 1.372 , 0.808 ] 
RengData : [ 1.362 , 0.808 ] 
RengData : [ 1.4500000000000002 , 0.81 ] 
RengData : [ 1.4400000000000002 , 0.81 ] 
RengData : [ 1.37 , 0.81 ] 
RengData : [ 1.36 , 0.81 ] 
RengData : [ 1.4500000000000002 , 0.812 ] 
RengData : [ 1.4400000000000002 , 0.812 ] 
RengData : [ 1.37 , 0.812 ] 
RengData : [ 1.362 , 0.812 ] 
RengData : [ 1.4520000000000002 , 0.814 ] 
RengData : [ 1.4420000000000002 , 0.814 ] 
RengData : [ 1.37 , 0.814 ] 
RengData : [ 1.36 , 0.814 ] 
RengData : [ 1.4540000000000002 , 0.816 ] 
RengData : [ 1.4420000000000002 , 0.816 ] 
RengData : [ 1.37 , 0.816 ] 
RengData : [ 1.36 , 0.816 ] 
RengData : [ 1.4560000000000002 , 0.818 ] 
RengData : [ 1.4440000000000002 , 0.818 ] 
RengData : [ 1.37 , 0.818 ] 
RengData : [ 1.362 , 0.818 ] 
RengData : [ 1.4580000000000002 , 0.82 ] 
RengData : [ 1.4440000000000002 , 0.82 ] 
RengData : [ 1.37 , 0.82 ] 
RengData : [ 1.36 , 0.82 ] 
RengData : [ 1.4600000000000002 , 0.822 ] 
RengData : [ 1.4460000000000002 , 0.822 ] 
RengData : [ 1.372 , 0.822 ] 
RengData : [ 1.362 , 0.822 ] 
RengData : [ 1.4620000000000002 , 0.824 ] 
RengData : [ 1.4480000000000002 , 0.824 ] 
RengData : [ 1.37 , 0.824 ] 
RengData : [ 1.362 , 0.824 ] 
RengData : [ 1.4640000000000002 , 0.826 ] 
RengData : [ 1.4500000000000002 , 0.826 ] 
RengData : [ 1.372 , 0.826 ] 
RengData : [ 1.362 , 0.826 ] 
RengData : [ 1.4660000000000002 , 0.828 ] 
RengData : [ 1.4520000000000002 , 0.828 ] 
RengData : [ 1.372 , 0.828 ] 
RengData : [ 1.362 , 0.828 ] 
RengData : [ 1.4680000000000002 , 0.83 ] 
RengData : [ 1.4540000000000002 , 0.83 ] 
RengData : [ 1.372 , 0.83 ] 
RengData : [ 1.362 , 0.83 ] 
RengData : [ 1.4680000000000002 , 0.832 ] 
RengData : [ 1.4560000000000002 , 0.832 ] 
RengData : [ 1.372 , 0.832 ] 
RengData : [ 1.364 , 0.832 ] 
RengData : [ 1.4700000000000002 , 0.834 ] 
RengData : [ 1.4580000000000002 , 0.834 ] 
RengData : [ 1.372 , 0.834 ] 
RengData : [ 1.362 , 0.834 ] 
RengData : [ 1.4720000000000002 , 0.836 ] 
RengData : [ 1.4600000000000002 , 0.836 ] 
RengData : [ 1.372 , 0.836 ] 
RengData : [ 1.362 , 0.836 ] 
RengData : [ 1.4740000000000002 , 0.838 ] 
RengData : [ 1.4620000000000002 , 0.838 ] 
RengData : [ 1.372 , 0.838 ] 
RengData : [ 1.362 , 0.838 ] 
RengData : [ 1.4760000000000002 , 0.84 ] 
RengData : [ 1.4640000000000002 , 0.84 ] 
RengData : [ 1.372 , 0.84 ] 
RengData : [ 1.36 , 0.84 ] 
RengData : [ 1.4780000000000002 , 0.842 ] 
RengData : [ 1.4660000000000002 , 0.842 ] 
RengData : [ 1.37 , 0.842 ] 
RengData : [ 1.36 , 0.842 ] 
RengData : [ 1.4800000000000002 , 0.844 ] 
RengData : [ 1.4660000000000002 , 0.844 ] 
RengData : [ 1.37 , 0.844 ] 
RengData : [ 1.36 , 0.844 ] 
RengData : [ 1.4800000000000002 , 0.846 ] 
RengData : [ 1.4680000000000002 , 0.846 ] 
RengData : [ 1.368 , 0.846 ] 
RengData : [ 1.358 , 0.846 ] 
RengData : [ 1.4820000000000002 , 0.848 ] 
RengData : [ 1.4700000000000002 , 0.848 ] 
RengData : [ 1.368 , 0.848 ] 
RengData : [ 1.358 , 0.848 ] 
RengData : [ 1.4840000000000002 , 0.85 ] 
RengData : [ 1.4720000000000002 , 0.85 ] 
RengData : [ 1.366 , 0.85 ] 
RengData : [ 1.356 , 0.85 ] 
RengData : [ 1.4860000000000002 , 0.852 ] 
RengData : [ 1.4740000000000002 , 0.852 ] 
RengData : [ 1.366 , 0.852 ] 
RengData : [ 1.356 , 0.852 ] 
RengData : [ 1.4880000000000002 , 0.854 ] 
RengData : [ 1.4760000000000002 , 0.854 ] 
RengData : [ 1.366 , 0.854 ] 
RengData : [ 1.356 , 0.854 ] 
RengData : [ 1.4880000000000002 , 0.856 ] 
RengData : [ 1.4760000000000002 , 0.856 ] 
RengData : [ 1.364 , 0.856 ] 
RengData : [ 1.354 , 0.856 ] 
RengData : [ 1.4900000000000002 , 0.858 ] 
RengData : [ 1.4780000000000002 , 0.858 ] 
RengData : [ 1.364 , 0.858 ] 
RengData : [ 1.354 , 0.858 ] 
RengData : [ 1.4920000000000002 , 0.86 ] 
RengData : [ 1.4800000000000002 , 0.86 ] 
RengData : [ 1.364 , 0.86 ] 
RengData : [ 1.354 , 0.86 ] 
RengData : [ 1.4940000000000002 , 0.862 ] 
RengData : [ 1.4820000000000002 , 0.862 ] 
RengData : [ 1.364 , 0.862 ] 
RengData : [ 1.354 , 0.862 ] 
RengData : [ 1.4940000000000002 , 0.864 ] 
RengData : [ 1.4820000000000002 , 0.864 ] 
RengData : [ 1.362 , 0.864 ] 
RengData : [ 1.352 , 0.864 ] 
RengData : [ 1.496 , 0.866 ] 
RengData : [ 1.484 , 0.866 ] 
RengData : [ 1.362 , 0.866 ] 
RengData : [ 1.352 , 0.866 ] 
RengData : [ 1.4980000000000002 , 0.868 ] 
RengData : [ 1.4860000000000002 , 0.868 ] 
RengData : [ 1.36 , 0.868 ] 
RengData : [ 1.352 , 0.868 ] 
RengData : [ 1.498 , 0.87 ] 
RengData : [ 1.488 , 0.87 ] 
RengData : [ 1.362 , 0.87 ] 
RengData : [ 1.352 , 0.87 ] 
RengData : [ 1.5 , 0.872 ] 
RengData : [ 1.488 , 0.872 ] 
RengData : [ 1.36 , 0.872 ] 
RengData : [ 1.35 , 0.872 ] 
RengData : [ 1.5020000000000002 , 0.874 ] 
RengData : [ 1.4900000000000002 , 0.874 ] 
RengData : [ 1.36 , 0.874 ] 
RengData : [ 1.35 , 0.874 ] 
